,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
64,673,20070109,22,2,29,20,33,44,16,13,8,1,1,2,0,2,1,2,1,0,2,2,2,1,1,1,0,2,0
65,674,20070116,32,40,2,34,26,1,21,35,30,2,2,1,2,2,0,1,2,2,1,1,0,0,1,2,2,0,1
66,675,20070123,23,18,28,29,19,38,8,27,24,2,1,0,1,1,1,2,1,1,1,2,2,2,0,0,1,0,1
67,676,20070130,25,2,1,18,37,6,19,26,45,1,1,2,0,1,0,0,1,1,2,0,0,1,1,2,1,0,2
68,677,20070206,14,40,43,3,28,36,19,27,12,2,0,1,2,1,2,0,0,1,1,0,2,1,1,0,1,0,0
69,678,20070213,18,19,39,29,37,28,33,4,32,0,1,1,1,0,2,2,1,1,2,1,1,0,2,1,0,2,2
70,679,20070220,6,22,9,38,3,44,11,18,30,0,0,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,1
71,680,20070227,38,43,5,26,3,25,27,42,45,2,2,1,2,2,0,2,1,0,0,1,1,0,1,0,2,0,2
72,681,20070306,35,17,39,1,33,4,2,45,6,2,2,2,1,0,2,1,0,0,2,1,0,2,0,0,2,0,0
73,682,20070313,10,40,13,41,32,39,3,27,12,1,0,1,2,1,0,2,2,2,2,0,2,0,0,0,1,0,0
74,683,20070320,37,17,24,30,14,34,10,26,40,1,2,2,1,0,1,0,1,2,0,1,2,1,0,2,1,1,2
75,684,20070327,31,7,38,13,4,25,43,35,40,1,2,1,0,2,2,1,0,1,0,1,1,1,2,2,2,1,2
76,685,20070403,26,44,4,12,35,33,31,1,14,2,1,2,2,1,0,0,0,2,2,0,2,1,2,1,0,2,0
77,686,20070410,39,25,17,4,5,34,43,22,23,0,2,1,1,2,1,1,0,2,0,1,2,1,2,1,1,2,1
78,687,20070417,5,45,40,42,7,4,17,2,29,2,0,0,2,1,2,0,2,1,0,1,0,2,1,2,0,2,1
79,688,20070424,20,2,1,44,18,33,13,31,29,2,1,2,0,1,0,2,2,0,1,0,2,1,0,1,2,2,1
80,689,20070501,23,45,20,27,32,41,8,21,28,2,1,0,2,2,1,0,1,2,2,2,2,2,0,0,1,1,1
81,690,20070508,24,11,28,9,34,33,22,19,20,0,1,2,0,1,1,0,0,1,2,0,2,1,1,1,1,2,1
82,691,20070515,41,14,32,23,31,6,1,21,38,2,2,2,0,2,2,2,1,1,2,0,0,1,0,0,1,2,2
83,692,20070522,20,7,8,5,32,15,41,42,36,2,1,1,0,2,0,2,0,2,2,0,0,2,2,0,2,0,2
84,693,20070529,37,44,15,6,16,14,35,4,26,1,2,2,2,0,0,0,0,1,1,2,0,2,2,1,0,2,1
85,694,20070605,11,6,25,39,44,14,34,15,13,2,0,0,0,1,1,0,2,2,2,2,0,1,2,0,0,1,0
86,695,20070612,36,2,25,3,26,1,35,37,8,0,2,2,0,1,1,0,0,2,1,1,0,2,2,1,2,2,0
87,696,20070619,17,8,43,45,25,12,1,27,6,2,1,2,0,1,2,0,2,1,1,0,0,1,0,0,1,0,0
88,697,20070626,10,34,40,30,35,43,27,44,25,1,0,1,2,1,2,0,1,2,2,1,2,0,1,2,2,1,1
89,698,20070703,41,42,26,20,12,40,15,3,5,2,2,0,2,2,1,2,1,0,0,1,2,0,0,0,0,2,0
90,699,20070710,45,32,3,24,15,29,37,27,9,0,2,2,2,0,0,0,1,0,0,2,1,1,2,0,1,0,0
91,700,20070717,16,29,37,13,41,11,42,20,25,1,1,2,1,1,2,1,0,2,2,2,0,0,2,2,1,1,1
92,701,20070724,11,23,14,6,17,45,38,33,25,2,0,2,1,2,0,0,0,2,1,0,2,2,2,0,2,1,1
93,702,20070731,11,15,16,9,3,33,5,36,31,2,0,0,0,1,1,0,0,0,0,0,2,2,0,0,2,1,2
94,703,20070807,4,33,27,15,14,1,26,28,5,1,0,0,2,0,1,0,0,2,0,1,0,2,1,1,1,2,0
95,704,20070814,2,18,19,1,21,28,8,26,31,2,0,0,1,1,1,1,0,0,1,1,1,2,0,2,1,1,2
96,705,20070821,13,24,37,26,17,12,27,7,6,1,0,0,1,1,2,2,1,2,1,0,0,0,1,1,0,0,0
97,706,20070828,31,28,9,22,16,18,43,40,32,1,2,1,1,0,0,1,1,1,1,0,1,1,2,1,2,2,2
98,707,20070904,40,26,30,34,11,10,2,14,19,1,2,2,1,0,1,1,2,2,0,1,0,2,0,2,0,1,1
99,708,20070911,27,36,14,37,42,25,7,13,20,0,1,0,2,2,0,1,2,0,2,1,1,1,0,1,0,2,1
100,709,20070918,11,39,23,28,36,19,32,16,31,2,0,0,2,2,1,1,1,0,2,1,1,2,2,1,1,1,2
101,710,20070925,32,8,2,39,22,10,4,18,34,2,2,2,0,2,0,0,2,1,1,1,0,1,0,0,1,1,2
102,711,20071002,13,35,43,26,20,38,32,7,25,1,0,2,2,1,2,2,1,2,1,2,2,2,2,1,0,1,1
103,712,20071009,38,16,34,9,41,44,4,3,35,2,2,1,1,1,2,0,0,2,2,2,2,1,0,0,0,2,2
104,713,20071016,3,4,6,31,37,32,2,16,35,0,0,1,0,0,0,1,2,1,2,2,2,2,0,1,1,2,2
105,714,20071023,6,1,38,12,33,27,29,21,42,0,0,1,0,2,2,0,0,0,2,0,1,2,1,0,1,0,2
106,715,20071030,18,10,29,27,12,22,17,31,35,0,1,1,0,2,1,0,1,0,0,1,1,2,1,1,2,2,2
107,716,20071106,30,18,31,14,40,42,37,25,7,0,1,0,1,1,2,2,0,1,2,0,2,1,2,1,1,1,0
108,717,20071113,18,35,3,30,36,2,39,13,10,0,1,2,2,0,0,0,1,0,2,2,0,0,2,1,0,1,0
109,718,20071120,15,31,8,3,40,20,19,23,5,0,0,1,2,2,0,0,0,1,2,2,1,1,1,2,1,2,0
110,719,20071127,9,12,23,6,32,21,42,28,13,0,0,0,0,2,1,0,0,2,2,0,1,0,2,1,1,1,0
111,720,20071204,18,8,28,29,39,35,13,27,3,0,1,2,0,1,1,2,1,0,2,2,2,1,0,0,1,0,0
112,721,20071211,38,26,36,20,9,15,44,28,34,2,2,2,1,0,2,2,1,0,0,0,0,2,2,1,1,1,2
113,722,20071218,23,45,22,42,9,29,28,3,39,2,1,0,2,1,1,0,2,0,0,2,1,1,1,0,0,0,2
114,723,20071225,26,39,9,34,8,37,32,31,21,2,1,0,2,0,0,1,2,2,0,1,2,2,2,1,2,0,1
115,724,20080101,18,37,10,13,17,5,21,27,43,0,1,1,2,1,0,1,0,2,1,2,0,0,1,0,1,1,2
116,725,20080108,21,31,11,10,29,14,12,26,33,0,1,1,2,2,0,1,0,2,1,2,0,0,0,2,1,0,2
117,726,20080115,13,7,38,5,16,14,18,26,23,1,0,1,0,2,2,2,0,1,1,2,0,0,1,2,1,2,1
118,727,20080122,19,21,15,22,26,39,45,18,37,1,1,0,1,0,0,1,1,2,1,0,2,0,2,0,1,1,2
119,728,20080129,33,20,7,32,39,2,30,9,13,0,2,2,1,1,0,2,2,0,2,2,0,0,1,0,0,1,0
120,729,20080205,12,25,29,2,4,5,10,39,15,0,0,1,1,2,1,2,0,1,0,2,0,1,0,0,2,0,0
121,730,20080212,29,3,41,21,28,13,5,38,42,2,1,0,0,2,2,0,1,1,1,1,0,2,0,2,2,0,2
122,731,20080219,33,19,11,3,23,21,24,42,29,0,2,1,1,2,0,0,0,2,1,0,1,0,1,0,2,2,1
123,732,20080226,5,11,16,25,17,6,44,7,15,2,0,2,0,1,1,1,1,2,1,0,0,2,2,1,0,0,0
124,733,20080304,33,32,16,13,6,4,15,7,24,0,2,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1
125,734,20080311,36,2,23,37,19,35,5,43,21,0,2,2,0,2,1,1,2,1,1,2,2,2,0,1,2,0,1
126,735,20080318,15,45,39,7,11,25,38,32,26,0,0,0,2,0,2,1,0,2,0,1,1,2,2,2,2,2,1
127,736,20080325,17,26,28,25,33,42,24,44,40,2,1,2,1,1,1,1,1,0,2,0,2,0,1,2,2,1,2
128,737,20080401,3,15,18,40,28,13,14,42,12,0,0,0,0,0,1,1,2,1,1,1,0,2,0,0,2,0,0
129,738,20080408,5,9,38,30,14,16,13,39,12,2,0,0,0,2,2,0,1,2,0,1,1,1,0,0,2,0,0
130,739,20080415,33,34,30,14,24,12,6,35,32,0,2,1,2,0,1,2,0,0,1,0,0,0,0,2,2,2,2
131,740,20080422,33,17,19,27,35,28,34,36,10,0,2,2,1,1,1,0,1,2,2,1,1,1,2,0,2,1,0
132,741,20080429,11,6,16,2,23,13,40,15,3,2,0,0,0,1,1,2,0,2,1,1,0,1,2,0,0,0,0
133,742,20080506,40,29,22,17,18,7,8,43,11,1,2,2,1,1,1,2,1,0,1,1,0,2,0,1,2,2,0
134,743,20080513,27,24,16,25,32,17,13,20,5,0,1,0,1,1,1,1,1,2,2,2,1,1,0,2,1,2,0
135,744,20080520,11,27,31,30,3,1,4,10,23,2,0,0,1,1,2,0,1,0,0,1,0,1,0,1,0,2,1
136,745,20080527,25,28,16,26,10,8,14,33,44,1,1,1,1,1,1,2,1,1,0,2,0,2,0,0,2,2,2
137,746,20080603,33,39,16,17,7,3,28,43,10,0,2,0,2,1,1,2,1,1,0,0,0,1,1,1,2,1,0
138,747,20080610,40,7,15,34,35,29,14,3,38,1,2,1,0,0,0,1,2,2,2,2,1,2,0,0,0,2,2
